Restaurant Name,Restaurant Address,Restaurant City,Rating,Category,Cost,Review Count
The Harwood Arms,"['27 Walham Grove', 'Fulham', 'London SW6 1QP', 'United Kingdom']",London,4.5,gastropubs,£££,116
The Barbary,"[""16 Neal's Yard"", 'Seven Dials', 'London WC2H 9DP', 'United Kingdom']",London,4.5,mideastern,£££,50
Dishoom - Kensington,"['4 Derry Street', 'Kensington W8 5SE', 'United Kingdom']",Kensington,4.5,indpak,££,77
Dishoom,"['7 Boundary Street', 'London E2 7JE', 'United Kingdom']",London,4.5,indpak,££,413
Dishoom,"['22 Kingly Street', 'London W1B 5QP', 'United Kingdom']",London,4.5,indpak,££,433
Bailey's Fish and Chips,"['115 Dawes Road', 'Fulham', 'London SW6 7EQ', 'United Kingdom']",London,4.5,fishnchips,£,119
Dishoom,"[""12 Upper Saint Martin's Lane"", 'London WC2H 9FB', 'United Kingdom']",London,4.5,indpak,££,1601
Dishoom,"['5 Stable Street', 'London N1C 4AB', 'United Kingdom']",London,4.5,indpak,££,325
Regency Café,"['17-19 Regency Street', 'London SW1P 4BY', 'United Kingdom']",London,4.5,coffee,£,367
The Ledbury,"['127 Ledbury Road', 'London W11 2AQ', 'United Kingdom']",London,4.5,modern_european,££££,161
Flat Iron,"['17-18 Henrietta Street', 'Covent Garden WC2E 8QH', 'United Kingdom']",Covent Garden,4.5,steak,££,160
The Palomar Restaurant,"['34 Rupert Street', 'London W1D 6DN', 'United Kingdom']",London,4.5,mideastern,£££,91
Orjowan Lebanese Cuisine,"['6 Kenway Road', ""Earl's Court"", 'London SW5 0RR', 'United Kingdom']",London,4.5,mideastern,££,88
Petrus,"['1 Kinnerton Street', 'Knightsbridge', 'London SW1X 8EA', 'United Kingdom']",London,4.5,french,££££,101
Hawksmoor Seven Dials,"['11 Langley Street', 'London WC2H 9JG', 'United Kingdom']",London,4.5,british,£££,320
Restaurant Gordon Ramsay,"['68 Royal Hospital Road', 'London SW3 4HP', 'United Kingdom']",London,4.5,french,££££,192
Padella,"['6 Southwark Street', 'London SE1 1TQ', 'United Kingdom']",London,4.5,italian,££,155
Dinner by Heston Blumenthal,"['66 Knightsbridge', 'Mandarin Oriental at Hyde Park', 'London SW1X 7LA', 'United Kingdom']",London,4.5,british,££££,275
Flat Iron,"['17 Beak Street', 'Soho', 'London W1F 9RW', 'United Kingdom']",London,4.5,steak,££,338
Friends of Ours,"['61 Pitfield Street', 'London N1 6BU', 'United Kingdom']",London,4.5,cafes,££,87
Homeslice Neal's Yard,"[""13 Neal's Yard"", 'Covent Garden', 'London WC2H 9DP', 'United Kingdom']",London,4.5,pizza,££,210
E Pellicci,"['332 Bethnal Green Road', 'London E2 0AG', 'United Kingdom']",London,4.5,italian,£,80
Honest Burgers,"['4A Meard Street', 'London W1F 0EF', 'United Kingdom']",London,4.5,burgers,££,259
St John Bar and Restaurant,"['26 St John Street', 'London EC1M 4AY', 'United Kingdom']",London,4.0,british,£££,284
NOPI,"['21-22 Warwick Street', 'London W1B 5NE', 'United Kingdom']",London,4.0,mediterranean,£££,254
Mother Mash,"['26 Ganton Street', 'London W1F 7QZ', 'United Kingdom']",London,4.0,british,££,414
